Hour,temp_f
12:00AM,45.62344262295084
01:00AM,44.762786885245895
02:00AM,43.98081967213117
03:00AM,43.32524590163935
04:00AM,42.74442622950817
05:00AM,42.29196721311476
06:00AM,42.85950819672133
07:00AM,43.831311475409805
08:00AM,45.28065573770489
09:00AM,46.98721311475408
10:00AM,48.699672131147494
11:00AM,50.193770491803285
12:00PM,51.541803278688555
01:00PM,52.50868852459016
02:00PM,53.1967213114754
03:00PM,53.391475409836055
04:00PM,53.17803278688522
05:00PM,52.29770491803276
06:00PM,51.18131147540983
07:00PM,50.04131147540981
08:00PM,48.8481967213115
09:00PM,47.85180327868851
10:00PM,47.06491803278684
11:00PM,46.39704918032784
